Country Name,Date,Closure of Schools,Closure of workplaces,Cancellation of Public Events,Restrictions on Gathering,Closure of Public Transport,Quarantine Requirements,Restrictions on Internal Movement ,Restrictions on International Travel
Albania,20200418,1,1,1,1,0,1,1,1
Albania,20200421,1,1,1,1,0,1,1,1
Albania,20200501,1,1,1,1,0,1,1,1
Albania,20200504,1,1,1,1,0,1,1,1
Albania,20200511,1,1,1,1,0,1,1,1
Albania,20200518,1,1,1,1,0,1,0,1
Albania,20200526,1,1,1,1,0,1,0,1
Albania,20200601,1,1,1,1,0,1,0,1
Albania,20200612,1,1,1,1,0,1,0,1
Albania,20200616,1,1,1,1,0,1,0,1
Albania,20200622,1,1,1,1,0,1,0,1
Albania,20200626,1,1,1,1,0,1,0,1
Albania,20200706,1,1,1,1,0,1,0,1
Albania,20200715,1,1,1,1,0,1,0,1
Albania,20200720,1,1,1,1,0,1,0,1
Albania,20200728,1,1,1,1,0,1,0,1
Albania,20200807,1,1,1,1,0,1,0,1
Albania,20200810,1,1,1,1,0,1,0,1
Albania,20200813,1,1,1,1,0,1,0,1
Albania,20200818,1,1,1,1,0,1,0,1
Albania,20200828,1,1,1,1,0,1,0,1
Albania,20200907,1,1,1,1,0,1,0,1
Albania,20200914,1,1,1,1,0,1,0,1
Albania,20200923,1,1,1,1,0,1,0,1
Albania,20201005,1,1,1,1,0,1,0,1
Albania,20201006,1,1,1,1,0,1,0,1
Albania,20201015,1,1,1,1,0,1,0,1
Albania,20201016,1,1,1,1,0,1,0,1
Albania,20201017,1,1,1,1,0,1,0,1
Albania,20201018,1,1,1,1,0,1,0,1
Albania,20201019,1,1,1,1,0,1,0,1
Albania,20201020,1,1,1,1,0,1,0,1
Albania,20201021,1,1,1,1,0,1,0,1
Albania,20201026,1,1,1,1,0,1,0,1
Albania,20201101,1,1,1,1,0,1,0,1
Albania,20201105,1,1,1,1,0,1,0,1
Albania,20201109,1,1,1,1,0,1,0,1
Albania,20201112,1,1,1,1,0,1,1,1
Albania,20201113,1,1,1,1,0,1,1,1
Albania,20201116,1,1,1,1,0,1,1,1
Albania,20201117,1,1,1,1,0,1,1,1
Albania,20201120,1,1,1,1,0,1,1,1
Albania,20201127,1,1,1,1,0,1,1,1
Albania,20201204,1,1,1,1,0,1,1,1
Albania,20201211,1,1,1,1,0,1,1,1
Albania,20201219,1,1,1,1,0,1,1,1
Albania,20201220,1,1,1,1,0,1,0,1
Albania,20201221,1,1,1,1,0,1,0,1
Albania,20201224,1,1,1,1,0,1,0,1
Albania,20210103,1,1,1,1,0,1,0,1
Albania,20210111,1,1,1,1,0,1,0,1
Albania,20210112,1,1,1,1,0,1,0,1
Albania,20210119,1,1,1,1,0,1,0,1
Albania,20210124,1,1,1,1,0,1,0,1
Albania,20210125,1,1,1,1,0,1,0,1
Albania,20210128,1,1,1,1,0,1,0,1
Albania,20210131,1,1,1,1,0,1,0,1
Albania,20210207,1,1,1,1,0,1,0,1
Albania,20210216,1,1,1,1,0,1,0,1
Albania,20210223,1,1,1,1,0,1,0,1
Albania,20210302,1,1,1,1,0,1,0,1
Albania,20210315,1,1,1,1,0,1,0,1
Albania,20210317,1,1,1,1,0,1,0,1
Albania,20210323,1,1,1,1,0,1,0,1
Albania,20210406,1,1,1,1,0,1,0,1
Albania,20210412,1,1,1,1,0,1,0,1
Albania,20210420,1,1,1,1,0,1,0,1
Albania,20210428,1,1,1,1,0,1,0,1
Albania,20210430,1,1,1,1,0,1,0,1
Albania,20210503,1,1,1,1,0,1,1,1
Albania,20210505,1,1,1,1,0,1,1,1
Algeria,20200215,0,0,0,0,0,0,0,0
Algeria,20200225,0,0,0,0,0,0,0,0
Algeria,20200305,0,0,0,0,0,0,0,0
Algeria,20200310,0,0,1,0,0,0,0,0
Algeria,20200312,1,0,1,0,0,0,0,1
Algeria,20200314,1,0,1,0,0,0,0,1
Algeria,20200317,1,0,1,0,0,0,0,1
Algeria,20200322,1,0,1,0,0,0,0,1
Algeria,20200323,1,1,1,0,0,0,0,1
Algeria,20200330,1,0,1,0,0,0,0,1
Algeria,20200401,1,0,1,0,0,0,0,1
Algeria,20200404,1,0,1,0,0,0,0,1
Algeria,20200405,1,0,1,0,0,0,0,1
Algeria,20200408,1,0,1,0,0,0,0,1
Algeria,20200413,1,0,1,0,0,0,0,1
Algeria,20200414,1,0,1,0,0,0,0,1
Algeria,20200418,1,0,1,0,0,0,0,1
Algeria,20200419,1,0,1,0,0,0,0,1
Algeria,20200420,1,0,1,0,0,0,0,1
Algeria,20200423,1,0,1,0,0,0,0,1
Algeria,20200424,1,1,1,1,0,0,0,1
Algeria,20200427,1,1,1,1,0,0,0,1
Algeria,20200430,1,1,1,1,0,0,0,1
Algeria,20200508,1,1,1,1,0,0,0,1
Algeria,20200509,1,1,1,1,0,0,0,1
Algeria,20200512,1,1,1,1,0,0,1,1
Algeria,20200514,1,1,1,1,0,0,0,1
Algeria,20200518,1,1,1,1,0,0,0,1
Algeria,20200524,1,1,1,1,0,0,0,1
Algeria,20200528,1,1,1,1,0,0,0,1
Algeria,20200604,1,1,1,1,0,0,0,1
Algeria,20200614,1,1,1,1,0,0,0,1
Algeria,20200628,1,1,1,1,0,0,0,1
Algeria,20200710,1,1,1,1,0,0,0,1
Algeria,20200727,1,1,1,1,0,0,1,1
Algeria,20200808,1,1,1,1,0,0,1,1
Algeria,20200809,1,1,1,1,0,0,1,1
Algeria,20200810,1,1,1,1,0,0,0,1
Algeria,20200815,1,1,1,0,0,0,0,1
Algeria,20200817,1,1,1,0,0,0,0,1
Algeria,20200818,1,1,1,1,0,0,0,1
Algeria,20200827,1,1,1,1,0,0,0,1
Algeria,20200901,1,1,1,1,0,0,0,1
Algeria,20200910,1,1,1,1,0,0,0,1
Algeria,20200914,1,1,1,1,0,0,0,1
Algeria,20200922,1,1,1,1,0,0,0,1
Algeria,20201001,1,1,1,1,0,0,0,1
Algeria,20201014,1,1,1,1,0,0,0,1
Algeria,20201021,1,1,1,1,0,0,0,1
Algeria,20201022,1,1,1,1,0,0,0,1
Algeria,20201104,1,1,1,1,0,0,0,1
Algeria,20201108,1,1,1,1,0,0,0,1
Algeria,20201110,1,1,1,1,0,0,0,1
Algeria,20201111,1,1,1,1,0,0,0,1
Algeria,20201115,1,1,1,1,0,0,0,1
Algeria,20201116,1,1,1,1,0,0,0,1
Algeria,20201122,1,1,1,1,0,0,0,1
Algeria,20201130,1,1,1,1,0,0,0,1
Algeria,20201208,1,1,1,1,0,0,0,1
Algeria,20201217,1,1,1,1,0,0,0,1
Algeria,20201222,1,1,1,1,0,0,0,1
Algeria,20210101,1,1,1,1,0,0,0,1
Algeria,20210107,1,1,1,1,0,0,0,1
Algeria,20210117,1,1,1,1,0,0,0,1
Algeria,20210125,1,1,1,1,0,0,0,1
Algeria,20210131,1,1,1,1,0,0,0,1
Algeria,20210205,1,1,1,1,0,0,0,1
Algeria,20210216,1,1,1,1,0,0,0,1
Algeria,20210222,1,1,1,1,0,0,0,1
Algeria,20210302,1,1,1,1,0,0,0,1
Algeria,20210316,1,1,1,1,0,0,0,1
Algeria,20210406,1,1,1,1,0,0,0,1
Algeria,20210412,1,1,1,1,0,0,0,1
Algeria,20210427,1,1,1,0,0,0,0,1
Algeria,20210517,1,1,0,0,0,0,1,1
Angola,20200206,0,0,0,0,0,0,0,1
Angola,20200226,0,0,0,0,0,0,0,1
Angola,20200301,0,0,0,0,0,0,0,1
Angola,20200316,0,0,0,0,0,0,0,1
Angola,20200320,0,0,0,0,0,0,0,1
Angola,20200324,1,0,0,1,0,0,0,1
Angola,20200325,1,0,0,1,0,0,0,1
Angola,20200327,1,1,1,1,0,1,1,1
Angola,20200401,1,1,1,1,0,1,1,1
Angola,20200403,1,1,1,1,0,1,1,1
Angola,20200409,1,1,1,1,0,1,1,1
Angola,20200417,1,1,1,1,0,1,1,1
Angola,20200418,1,1,1,1,0,1,1,1
Angola,20200423,1,1,1,1,0,1,0,1
Angola,20200424,1,1,1,1,0,1,0,1
Angola,20200426,1,1,1,1,0,1,0,1
Angola,20200508,1,1,1,1,0,1,0,1
Angola,20200511,1,1,1,1,0,1,0,1
Angola,20200513,1,1,1,1,0,1,0,1
Angola,20200517,1,1,1,1,0,1,0,1
Angola,20200526,1,1,1,1,0,1,0,1
Angola,20200605,1,1,1,1,0,1,0,1
Angola,20200608,1,0,1,1,0,1,0,1
Angola,20200615,1,0,1,1,0,1,0,1
Angola,20200617,1,0,1,1,0,1,0,1
Angola,20200624,1,0,1,1,0,1,0,1
Angola,20200630,1,0,1,1,0,1,0,1
Angola,20200709,1,0,1,0,0,0,0,1
Angola,20200723,1,0,1,0,0,0,0,1
Angola,20200726,1,0,1,0,0,0,0,1
Angola,20200728,1,0,1,0,0,0,0,1
Angola,20200730,1,0,1,0,0,0,0,1
Angola,20200811,1,0,1,0,0,0,0,1
Angola,20200821,1,0,0,0,0,0,0,1
Angola,20200828,1,0,0,0,0,0,0,1
Angola,20200901,1,1,1,0,0,0,0,1
Angola,20200916,1,1,1,1,0,1,0,1
Angola,20200929,1,1,1,1,0,1,0,1
Angola,20201005,1,1,1,1,0,1,0,1
Angola,20201009,1,1,1,1,0,1,0,1
Angola,20201014,1,1,1,1,0,1,0,1
Angola,20201021,1,1,1,1,0,1,0,1
Angola,20201023,1,1,1,1,0,1,0,1
Angola,20201101,1,1,1,1,0,1,0,1
Angola,20201118,1,1,1,0,0,1,0,1
Angola,20201123,1,1,1,1,0,1,1,1
Angola,20201203,1,1,1,1,0,1,1,1
Angola,20201221,1,1,1,1,0,1,1,1
Angola,20210105,1,1,1,1,0,1,1,1
Angola,20210106,1,1,1,1,0,1,1,1
Angola,20210115,1,1,1,1,0,1,1,1
Angola,20210119,1,1,1,1,0,1,1,1
Angola,20210205,1,1,1,1,0,1,1,1
Angola,20210216,1,1,1,1,0,1,1,1
Angola,20210304,1,1,1,1,0,1,1,1
Angola,20210308,1,1,1,1,0,1,1,1
Angola,20210314,1,1,1,1,0,1,1,1
Angola,20210322,1,1,1,1,0,1,1,1
Angola,20210323,1,1,1,1,0,1,1,1
Angola,20210330,1,1,1,1,0,1,1,1
Angola,20210406,0,1,1,1,0,1,1,1
